pick_id,show,episode_date,host,game_date,matchup,market_type,side,number_cited,price_cited,stated_confidence,confidence_tier,line_available_at_listen,closing_line,closing_price,clv_points,clv_pct,result,notes,ext_episode_id,ext_period,ext_game_id_provisional,ext_attribution_confidence,ext_pick_or_lean,ext_reasoning_15w,ext_final_score,ext_graded_as_of,ext_clv_status
W01-011,Cover 3,2026-09-03,Bud Elliott,2026-09-05,FIU at USF,ML,FIU,,+525,moneyline sprinkle,1,,,,,,,price garbled in transcript (+506 vs +525),C3_20260903_LOCKS,FG,20260905_FIU_USF,HIGH,PICK,Chadwell better coach than Napier in Sun Belt,,,PENDING
W01-012,Cover 3,2026-09-03,Bud Elliott,2026-09-05,Liberty at JMU,ML,Liberty,,+190,moneyline sprinkle,1,+230 earlier in week,,,,,,line moved against him; he noted it,C3_20260903_LOCKS,FG,20260905_LIB_JMU,HIGH,PICK,Was 230 earlier; likes it less at 190,,,PENDING
W01-013,Cover 3,2026-09-03,Bud Elliott,2026-09-05,Baylor vs Auburn,ML,Baylor,,+250,moneyline sprinkle,1,,,,,,,,C3_20260903_LOCKS,FG,20260905_BAY_AUB,HIGH,PICK,Nobody wants to bet Baylor; give me Aranda,,,PENDING
W01-014,Cover 3,2026-09-03,Bud Elliott,2026-09-05,Wyoming at Colorado State,ML,Wyoming,,+165,moneyline sprinkle,1,+140 to +146 at other books,,,,,,shopped up from 140,C3_20260903_LOCKS,FG,20260905_WYO_CSU,HIGH,PICK,Line shopped 140 to 165 on air,,,PENDING
W01-015,Cover 3,2026-09-03,Chip Patterson,2026-09-03,Colorado at Georgia Tech,SPREAD,Georgia Tech -3.5,-3.5,,best bet for this game,2,,,,,,L,"contradicts show-level upset alert on Colorado two days earlier | GT led by 3 at half, needed >3.5",C3_20260903_LOCKS,1H,20260903_COLO_GT,HIGH,PICK,Tech mashes early; go-go offense slow to settle on road,1H: GT 10 COLO 7,2026-09-05,NO_CLOSE_CAPTURED
W01-016,Cover 3,2026-09-03,Chip Patterson,2026-09-04,Toledo at Michigan State,TOTAL,under 47.5,47.5,,board pick,2,46.5 also available,,,,,L,took worse-priced better number deliberately | Total 50; the 46.5 he passed on also loses,C3_20260903_LOCKS,FG,20260904_TOL_MSU,HIGH,PICK,Unimpressed by Michigan State explosiveness; expects rock fight,MSU 30 TOL 20,2026-09-05,NO_CLOSE_CAPTURED
W01-017,Cover 3,2026-09-03,Chip Patterson,2026-09-05,Boise State at Oregon,TEAM_TOTAL,Boise under 13.5,13.5,,board pick,2,,,,,,,,C3_20260903_LOCKS,FG,20260905_BSU_ORE,HIGH,PICK,Boise OL concerns unanswered vs best DL in country,,,PENDING
W01-018,Cover 3,2026-09-03,Chip Patterson,2026-09-05,North Texas at Indiana,SPREAD,Indiana -7.5,-7.5,plus money,board pick,1,,,,,,,fourth-quarter derivative market,C3_20260903_LOCKS,4Q,20260905_UNT_IU,HIGH,PICK,Prefers 4Q -7.5 plus money over -40.5 full game,,,PENDING
W01-019,Cover 3,2026-09-03,Chip Patterson,2026-09-05,Wyoming at Colorado State,TOTAL,under 46.5,46.5,,cover 3 star lock (3 units),3,,,,,,,3 units; wind 10mph not a factor per host,C3_20260903_LOCKS,FG,20260905_WYO_CSU,HIGH,PICK,Rivalry phone-booth game; familiarity and tape both directions,,,PENDING
W01-020,Cover 3,2026-09-03,Chip Patterson,2026-09-06,Wisconsin vs Notre Dame,SPREAD,Notre Dame -20,-20,,board pick,2,20.5 elsewhere,,,,,,,C3_20260903_LOCKS,FG,20260906_WIS_ND,HIGH,PICK,Freeman needs resume points; expects mid-2000s style bloodbaths,,,PENDING
W01-021,Cover 3,2026-09-03,Chip Patterson,2026-09-05,ECU at Alabama,TOTAL,under 28.5,28.5,,board pick,2,,,,,,,110F heat cited,C3_20260903_LOCKS,1H,20260905_ECU_BAMA,HIGH,PICK,Heat plus new QB friction; ECU lost everything offensively,,,PENDING
W01-022,Cover 3,2026-09-03,Chip Patterson,2026-09-05,Boston College at Cincinnati,SPREAD,Boston College +7.5,7.5,,moneyline sprinkles segment side,2,,,,,,,,C3_20260903_LOCKS,FG,20260905_BC_CIN,HIGH,PICK,Refuses to let Cincinnati be a touchdown-plus favorite,,,PENDING
W01-023,Cover 3,2026-09-03,Chip Patterson,2026-09-05,UCLA at Cal,SPREAD,Cal +2,2,,board pick,2,,,,,,,,C3_20260903_LOCKS,FG,20260905_UCLA_CAL,HIGH,PICK,Program rallied around LuPoy; both QBs play well,,,PENDING
W01-024,Cover 3,2026-09-03,Chip Patterson,2026-09-04,Toledo at Michigan State,ML,Toledo,,+350,moneyline sprinkle,1,,,,,,L,Toledo lost by 10,C3_20260903_LOCKS,FG,20260904_TOL_MSU,HIGH,PICK,Rockets to the moon; correlated with his under,MSU 30 TOL 20,2026-09-05,NO_CLOSE_CAPTURED
W01-025,Cover 3,2026-09-03,Chip Patterson,2026-09-05,Oklahoma State at Tulsa,ML,Tulsa,,+460,moneyline sprinkle,1,+450 elsewhere,,,,,,,C3_20260903_LOCKS,FG,20260905_OKST_TUL,HIGH,PICK,In-state rivalry; Tulsa beat them at home last year,,,PENDING
W01-026,Cover 3,2026-09-03,Chip Patterson,2026-09-05,UCLA at Cal,ML,Cal,,+115,moneyline sprinkle,1,+102 initially,,,,,,shopped up from +102,C3_20260903_LOCKS,FG,20260905_UCLA_CAL,HIGH,PICK,Same side as his spread; correlated exposure,,,PENDING
W01-027,Cover 3,2026-09-03,Danny Kanell,2026-09-03,Colorado at Georgia Tech,TOTAL,under 26.5,26.5,,board pick,2,,,,,,W,1H under 26.5 by nine points,C3_20260903_LOCKS,1H,20260903_COLO_GT,HIGH,PICK,Both offenses have new pieces; sluggish out of gate,1H total 17,2026-09-05,NO_CLOSE_CAPTURED
W01-028,Cover 3,2026-09-03,Danny Kanell,2026-09-06,Louisville vs Ole Miss,SPREAD,Louisville +7,7,,board pick,2,,,,,,,,C3_20260903_LOCKS,FG,20260906_LOU_MISS,HIGH,PICK,Betting on big-game Brohm; Ole Miss defense overrated post-Kiffin,,,PENDING
W01-029,Cover 3,2026-09-03,Danny Kanell,2026-09-05,Boise State at Oregon,TEAM_TOTAL,Boise under 13.5,13.5,,board pick,2,,,,,,,,C3_20260903_LOCKS,FG,20260905_BSU_ORE,HIGH,PICK,No Jeanty; Madsen struggles against power four defenses,,,PENDING
W01-030,Cover 3,2026-09-03,Danny Kanell,2026-09-05,Clemson at LSU,TOTAL,under 50.5,50.5,,board pick,2,,,,,,,,C3_20260903_LOCKS,FG,20260905_CLEM_LSU,HIGH,PICK,Clemson defense stout; Leavitt had no spring reps,,,PENDING
W01-031,Cover 3,2026-09-03,Danny Kanell,2026-09-04,Miami at Stanford,TOTAL,over 47.5,47.5,,board pick,2,,,,,,W,"only over on the Cover 3 card | Total 51, over 47.5",C3_20260903_LOCKS,FG,20260904_MIA_STAN,HIGH,PICK,Miami can reach the number alone; Stanford needs ten,MIA 45 STAN 6,2026-09-05,NO_CLOSE_CAPTURED
W01-032,Cover 3,2026-09-03,Danny Kanell,2026-09-06,Wisconsin vs Notre Dame,SPREAD,Wisconsin +11.5,11.5,,board pick,2,,,,,,,,C3_20260903_LOCKS,1H,20260906_WIS_ND,HIGH,PICK,Sluggish start; Notre Dame depth takes control late,,,PENDING
W01-033,Cover 3,2026-09-03,Danny Kanell,2026-09-05,Western Michigan at Michigan,SPREAD,Michigan -27.5,-27.5,,cover 3 star lock (3 units),3,,,,,,,3 units,C3_20260903_LOCKS,FG,20260905_WMU_MICH,HIGH,PICK,Whittingham era opener; build Underwood confidence with a massacre,,,PENDING
W01-034,Cover 3,2026-09-03,Danny Kanell,2026-09-05,Baylor vs Auburn,SPREAD,Auburn -7,-7,,board pick,2,-1.5 misread on his board,,,,,,,C3_20260903_LOCKS,FG,20260905_BAY_AUB,HIGH,PICK,Distrusts Lagway; Auburn controls line of scrimmage,,,PENDING
W01-035,Cover 3,2026-09-03,Danny Kanell,2026-09-05,FIU at USF,ML,FIU,,,moneyline sprinkle,1,,,,,,,PRICE NOT CITED - ungradeable for CLV,C3_20260903_LOCKS,FG,20260905_FIU_USF,MEDIUM,PICK,Was under on USF win total in preseason,,,PENDING
W01-036,Cover 3,2026-09-03,Danny Kanell,2026-09-05,UCLA at Cal,ML,Cal,,,moneyline sprinkle,1,,,,,,,PRICE NOT CITED,C3_20260903_LOCKS,FG,20260905_UCLA_CAL,MEDIUM,PICK,The cal-gor-ithm gets it done,,,PENDING
W01-037,Cover 3,2026-09-03,Danny Kanell,2026-09-05,Clemson at LSU,ML,Clemson,,+325,moneyline sprinkle,1,+350 first quoted,,,,,,line moved against him mid-segment,C3_20260903_LOCKS,FG,20260905_CLEM_LSU,HIGH,PICK,Dabo disrespect card; Vizzina might be merely adequate,,,PENDING
W01-038,Cover 3,2026-09-03,Danny Kanell,2026-09-07,SMU at Florida State,ML,Florida State,,+140,moneyline sprinkle,1,,,,,,,rationale explicitly non-analytical (daughter attendance),C3_20260903_LOCKS,FG,20260907_SMU_FSU,HIGH,PICK,Why is it only a field goal for Florida State,,,PENDING
W01-039,Cover 3,2026-09-03,Tom Fornelli,2026-09-05,Clemson at LSU,SPREAD,LSU -10,-10,,board pick,2,,,,,,,,C3_20260903_LOCKS,FG,20260905_CLEM_LSU,HIGH,PICK,Talent gap; Kiffin era opener statement game in Baton Rouge,,,PENDING
W01-040,Cover 3,2026-09-03,Tom Fornelli,2026-09-06,Louisville vs Ole Miss,SPREAD,Louisville +7,7,,board pick,2,,,,,,,,C3_20260903_LOCKS,FG,20260906_LOU_MISS,HIGH,PICK,Brohm gameplanning edge; Ole Miss defense lost its good players,,,PENDING
W01-041,Cover 3,2026-09-03,Tom Fornelli,2026-09-06,Wisconsin vs Notre Dame,TOTAL,under 47.5,47.5,,cover 3 star lock (3 units),3,,,,,,,3 units,C3_20260903_LOCKS,FG,20260906_WIS_ND,HIGH,PICK,Both paths to the result are lower scoring,,,PENDING
W01-042,Cover 3,2026-09-03,Tom Fornelli,2026-09-05,North Texas at Indiana,SPREAD,Indiana -40.5,-40.5,,board pick,2,,,,,,,,C3_20260903_LOCKS,FG,20260905_UNT_IU,HIGH,PICK,Cignetti motivated; North Texas gutted by staff departure,,,PENDING
W01-043,Cover 3,2026-09-03,Tom Fornelli,2026-09-05,Ball State at Ohio State,SPREAD,Ball State +51,51,,board pick,2,,,,,,,,C3_20260903_LOCKS,FG,20260905_BALL_OSU,HIGH,PICK,Ohio State disinterested; Texas next week,,,PENDING
W01-044,Cover 3,2026-09-03,Tom Fornelli,2026-09-05,Furman at Tennessee,SPREAD,Tennessee -46.5,-46.5,,board pick,2,,,,,,,opponent resolved from schedule 2026-09-04: Furman 3:30pm ET,C3_20260903_LOCKS,FG,20260905_FUR_TENN,HIGH,PICK,Heupel offense does not decelerate in non-conference games,,,PENDING
W01-045,Cover 3,2026-09-03,Tom Fornelli,2026-09-05,Kent State at South Carolina,SPREAD,South Carolina -35.5,-35.5,,board pick,2,,,,,,,opponent resolved from schedule 2026-09-04: Kent State 12:45pm ET,C3_20260903_LOCKS,FG,20260905_KENT_SC,HIGH,PICK,New OC wants to show off; Sellers unleashed,,,PENDING
W01-046,Cover 3,2026-09-03,Tom Fornelli,2026-09-05,Baylor vs Auburn,TOTAL,under 59,59,,board pick,2,,,,,,,,C3_20260903_LOCKS,FG,20260905_BAY_AUB,HIGH,PICK,Best number he could find,,,PENDING
W01-047,Cover 3,2026-09-03,Tom Fornelli,2026-09-05,Boston College at Cincinnati,TOTAL,under 50.5,50.5,,board pick,2,,,,,,,,C3_20260903_LOCKS,FG,20260905_BC_CIN,HIGH,PICK,Lower scoring keeps Boston College close; correlated with Chip,,,PENDING
W01-048,Cover 3,2026-09-03,Tom Fornelli,2026-09-05,UCLA at Cal,ML,Cal,,+115,moneyline sprinkle,1,,,,,,,,C3_20260903_LOCKS,FG,20260905_UCLA_CAL,HIGH,PICK,Same number Chip found,,,PENDING
W01-049,Cover 3,2026-09-03,Tom Fornelli,2026-09-05,South Dakota State at Northwestern,ML,South Dakota State,,+475,moneyline sprinkle,1,+470 quoted once,,,,,,,C3_20260903_LOCKS,FG,20260905_SDST_NW,HIGH,PICK,Fading Northwestern; not sure they are better,,,PENDING
W01-050,Cover 3,2026-09-03,Kinsey Brooks,2026-09-05,Western Kentucky at Nevada,ML,Nevada,,plus money,guest picks segment,2,around +1.5 spread,,,,,,NUMBER AMBIGUOUS - side vs ML unclear in transcript,C3_20260903_LOCKS,FG,20260905_WKU_NEV,MEDIUM,PICK,Home road splits; WKU eleven points worse away; elevation,,,PENDING
W01-051,Cover 3,2026-09-03,Kinsey Brooks,2026-09-05,Liberty at JMU,SPREAD,JMU -6,-6,,guest picks segment,2,-6.5 market,,,,,,host gave her the better number on air,C3_20260903_LOCKS,FG,20260905_LIB_JMU,MEDIUM,PICK,Napier recruiting profile replaces returning production; road splits,,,PENDING
W01-052,Cover 3,2026-09-03,The Dentist,2026-09-06,Louisville vs Ole Miss,TOTAL,under 28.5,28.5,,recurring guest pick,2,,,,,,,identity unresolved; recurring non-host picker,C3_20260903_LOCKS,1H,20260906_LOU_MISS,LOW,PICK,Louisville kicking game concern; improved Ole Miss defense,,,PENDING
W01-053,Cover 3,2026-09-03,The Dentist,2026-09-06,Louisville vs Ole Miss,SPREAD,Ole Miss -6.5,-6.5,,recurring guest pick; nervous,2,,,,,,,stated confidence hedged despite making the pick,C3_20260903_LOCKS,FG,20260906_LOU_MISS,LOW,PICK,Nervous about it; Louisville OL banged up,,,PENDING
W01-054,Cover 3,2026-09-03,Producer (Taft/Stryker),2026-09-06,Wisconsin vs Notre Dame,TEAM_TOTAL,Wisconsin under,,,producer pick,2,,,,,,,NO NUMBER CITED - UNGRADEABLE,C3_20260903_LOCKS,FG,20260906_WIS_ND,MEDIUM,PICK,Sportsline model has it 36-11; Wisconsin twelve per game vs top five,,,PENDING
W01-055,Cover 3,2026-09-01,Cover 3 (show-level),2026-09-03,Colorado at Georgia Tech,SPREAD,Colorado +6.5,6.5,,upset alert of the week,1,,,,,,W,SHOW-LEVEL designation not an individual wager; Danny and Bud both endorsed | Colorado won outright,C3_20260901_BGB,FG,20260903_COLO_GT,HIGH,LEAN,Colorado more experienced; Georgia Tech lost King and Faulkner,COLO 14 GT 13,2026-09-05,NO_CLOSE_CAPTURED
W01-056,Cover 3,2026-09-02,Danny Kanell,2026-09-06,Louisville vs Ole Miss,SPREAD,Louisville,,,ripe spot for an upset,1,,,,,,,NO NUMBER CITED - lean only; became a firm +7 pick next day,C3_20260902_PREVIEW,FG,20260906_LOU_MISS,HIGH,LEAN,Brohm one of the best play callers; Ole Miss looking ahead,,,PENDING
W01-057,BBOC,2026-09-03,Stucky,2026-09-03,Colorado at Georgia Tech,SPREAD,Colorado +7,7,,logged in Action app,2,+6.5 widely; +7 at -120,,,,,W,he got +7 flat; co-host could not | Won outright as +7 dog,BBOC_20260903_WK1PREV,FG,20260903_COLO_GT,HIGH,PICK,Makes it 3.5; Key is 17-6 ATS as underdog,COLO 14 GT 13,2026-09-05,NO_CLOSE_CAPTURED
W01-058,BBOC,2026-09-03,Stucky,2026-09-03,UMass at Rutgers,SPREAD,UMass +29.5,29.5,,first trash bet of the year,2,anything over +29,,,,,W,Won outright as +29.5 dog [VERIFY - source is schedule article not scores feed],BBOC_20260903_WK1PREV,FG,20260903_UMASS_RUT,HIGH,PICK,Makes it 27.5; Schiano will not embarrass former DC,UMASS 37 RUT 21,2026-09-05,NO_CLOSE_CAPTURED
W01-059,BBOC,2026-09-03,Stucky,2026-09-03,Akron at Wake Forest,SPREAD,Wake Forest -24.5,-24.5,,played,1,,,,,,L,"CONDITIONAL on Poffenberger eligibility news | Won by 22, needed 25",BBOC_20260903_WK1PREV,FG,20260903_AKR_WAKE,HIGH,PICK,Played partly on eligibility rumor; wait-and-see,WAKE 38 AKR 16,2026-09-05,NO_CLOSE_CAPTURED
W01-060,BBOC,2026-09-03,Stucky,2026-09-06,Louisville vs Ole Miss,SPREAD,Louisville +7,7,,favorite bet of the weekend; first bet of the season,3,anything at +7 or above,,,,,,,BBOC_20260903_WK1PREV,FG,20260906_LOU_MISS,HIGH,PICK,Brohm 11-4 ATS as seven-plus dog since 2018,,,PENDING
W01-061,BBOC,2026-09-03,Stucky,2026-09-06,Wisconsin vs Notre Dame,TOTAL,under 47.5,47.5,,put it on the board,2,,,,,,,,BBOC_20260903_WK1PREV,FG,20260906_WIS_ND,HIGH,PICK,Both offensive lines injured; neither team reaches 31 or 13,,,PENDING
W01-062,BBOC,2026-09-03,Stucky,2026-09-05,Liberty at JMU,SPREAD,Liberty +6,6,,head-to-head vs co-host,2,,,,,,,explicit head-to-head with Colin Wilson,BBOC_20260903_WK1PREV,FG,20260905_LIB_JMU,HIGH,PICK,Trusts Chadwell over Napier; JMU starting completely over,,,PENDING
W01-063,BBOC,2026-09-03,Stucky,2026-09-05,Western Michigan at Michigan,SPREAD,Michigan -27.5,-27.5,,liked,2,under four touchdowns,,,,,,,BBOC_20260903_WK1PREV,FG,20260905_WMU_MICH,HIGH,PICK,WMU cannot throw or play from behind; defense decimated,,,PENDING
W01-064,BBOC,2026-09-03,Stucky,2026-09-05,ECU at Alabama,SPREAD,Alabama -28,-28,,at 28 or better,2,,,,,,,also flagged live under interest,BBOC_20260903_WK1PREV,FG,20260905_ECU_BAMA,HIGH,PICK,DeBoer averages fifty-plus margin vs non-power four,,,PENDING
W01-065,BBOC,2026-09-03,Stucky,2026-09-05,Coastal Carolina vs West Virginia,SPREAD,West Virginia,,,favorite favorite (overdog parlay),2,,,,,,,NO NUMBER CITED - UNGRADEABLE,BBOC_20260903_WK1PREV,FG,20260905_CCU_WVU,HIGH,PICK,Wins by thirty-plus; Coastal horrendous this year,,,PENDING
W01-066,BBOC,2026-09-03,Stucky,2026-09-05,Western Kentucky at Nevada,ML,Nevada,,,underdog moneyline parlay leg,1,,,,,,,PRICE NOT CITED,BBOC_20260903_WK1PREV,FG,20260905_WKU_NEV,HIGH,PICK,Late kick travel; WKU starting over outside quarterback,,,PENDING
W01-067,BBOC,2026-09-03,Stucky,2026-09-05,Clemson at LSU,TOTAL,1H under,,,looking at a first half under,1,,,,,,,NO NUMBER CITED - LEAN ONLY,BBOC_20260903_WK1PREV,1H,20260905_CLEM_LSU,HIGH,LEAN,LSU defense ahead of offense; Clemson conservative early,,,PENDING
W01-068,BBOC,2026-09-03,Stucky,2026-09-05,UCLA at Cal,SPREAD,Cal +1.5,1.5,,threw into a round robin,1,,,,,,,also monitoring live over,BBOC_20260903_WK1PREV,FG,20260905_UCLA_CAL,HIGH,PICK,Coin flip; trusts Sagapolutele much more than Iamaleava,,,PENDING
W01-069,BBOC,2026-09-03,Stucky,2026-09-04,San Jose State at Eastern Michigan,SPREAD,San Jose State,,,threw into a round robin,1,,,,,,W,NO NUMBER CITED | Side won; no number was cited so CLV uncomputable,BBOC_20260903_WK1PREV,FG,20260904_SJSU_EMU,HIGH,PICK,More juice than expected last week; coin flip game,SJSU 27 EMU 21,2026-09-05,NO_CLOSE_CAPTURED
W01-070,BBOC,2026-09-03,Stucky,2026-09-05,Oklahoma State at Tulsa,TOTAL,over 59,59,,want to bet this over,1,,,,,,,LEAN - did not confirm placement,BBOC_20260903_WK1PREV,FG,20260905_OKST_TUL,HIGH,LEAN,Tulsa corner and linebacker out; both defenses have issues,,,PENDING
W01-071,BBOC,2026-09-03,Stucky,2026-09-04,UTEP at Oklahoma,TEAM_TOTAL,UTEP under 3.5,3.5,,fun sweat,1,,,,,,W,UTEP shut out; full-game team total zero,BBOC_20260903_WK1PREV,FG,20260904_UTEP_OU,HIGH,PICK,UTEP OL is community college kids; Oklahoma dominates front,OKLA 51 UTEP 0,2026-09-05,NO_CLOSE_CAPTURED
W01-072,BBOC,2026-09-03,Stucky,2026-09-05,Texas State at Texas,SPREAD,Texas State +30,30,,betting some pregame,1,,,,,,,also flagged live interest if Texas jumps ahead,BBOC_20260903_WK1PREV,FG,20260905_TXST_TEX,HIGH,PICK,Texas OL injuries; Texas State can backdoor with elite receivers,,,PENDING
W01-073,BBOC,2026-09-03,Stucky,2026-09-05,Arkansas State at Memphis,SPREAD,Arkansas State,,,strong argument no explicit placement,1,+11.5 market,,,,,,NUMBER NOT CITED BY STUCKY - inferred lean,BBOC_20260903_WK1PREV,FG,20260905_ARST_MEM,MEDIUM,LEAN,Week zero tape disadvantage; Memphis looking ahead to Boise,,,PENDING
W01-074,BBOC,2026-09-03,Stucky,2026-09-05,Miami OH at Pittsburgh,TOTAL,under,,,under makes sense,1,,,,,,,NO NUMBER CITED,BBOC_20260903_WK1PREV,FG,20260905_MIAO_PITT,HIGH,LEAN,Miami Ohio averages eight points in openers since 2017,,,PENDING
W01-075,BBOC,2026-09-03,Colin Wilson,2026-09-03,Colorado at Georgia Tech,SPREAD,Colorado +6.5,6.5,could buy to +7 at -120,absolutely the play right out of the gate,2,,,,,,W,waiting for +7 to be widely available | Won outright as +6.5 dog,BBOC_20260903_WK1PREV,FG,20260903_COLO_GT,HIGH,PICK,Did Georgia Tech install for Tennessee instead; Scudero is the star,COLO 14 GT 13,2026-09-05,NO_CLOSE_CAPTURED
W01-076,BBOC,2026-09-03,Colin Wilson,2026-09-05,Baylor vs Auburn,SPREAD,Auburn -7.5,-7.5,,should be double digits; jump in at 7.5,2,,,,,,,,BBOC_20260903_WK1PREV,FG,20260905_BAY_AUB,HIGH,PICK,Baylor lost four of five OL; cannot run on Auburn,,,PENDING
W01-077,BBOC,2026-09-03,Colin Wilson,2026-09-05,Clemson at LSU,TOTAL,under 51,51,,already played in app,2,51 key; board at 50.5,,,,,,placed earlier in the week,BBOC_20260903_WK1PREV,FG,20260905_CLEM_LSU,HIGH,PICK,Slow starts both sides; Vizzina 2 big throws 7 turnover-worthy,,,PENDING
W01-078,BBOC,2026-09-03,Colin Wilson,2026-09-05,UCLA at Cal,TOTAL,under 53.5,53.5,,I actually like the under,2,,,,,,,,BBOC_20260903_WK1PREV,FG,20260905_UCLA_CAL,HIGH,PICK,Cal installing huddle pro-style; slow start both offenses,,,PENDING
W01-079,BBOC,2026-09-03,Colin Wilson,2026-09-06,Louisville vs Ole Miss,SPREAD,Ole Miss -7,-7,,head-to-head vs co-host,2,,,,,,,explicit head-to-head with Stucky,BBOC_20260903_WK1PREV,FG,20260906_LOU_MISS,HIGH,PICK,Cannot handicap Kienholz; can handicap Golding front seven,,,PENDING
W01-080,BBOC,2026-09-03,Colin Wilson,2026-09-06,Wisconsin vs Notre Dame,TOTAL,under 47.5,47.5,,put it on the board,2,,,,,,,,BBOC_20260903_WK1PREV,FG,20260906_WIS_ND,HIGH,PICK,Ground-based game; nobody lighting each other up in the air,,,PENDING
W01-081,BBOC,2026-09-03,Colin Wilson,2026-09-05,Liberty at JMU,SPREAD,JMU -6,-6,,head-to-head; not scared,2,,,,,,,,BBOC_20260903_WK1PREV,FG,20260905_LIB_JMU,HIGH,PICK,Chadwell unhappy with offense in camp; 1-5 on road last year,,,PENDING
W01-082,BBOC,2026-09-03,Colin Wilson,2026-09-05,Oklahoma State at Tulsa,TOTAL,under 59,59,,took at beginning of week; now wavering,1,,,,,,,confidence explicitly degraded after Tulsa injury news,BBOC_20260903_WK1PREV,FG,20260905_OKST_TUL,HIGH,PICK,Took under before injuries surfaced; not a big fan now,,,PENDING
W01-083,BBOC,2026-09-03,Colin Wilson,2026-09-05,Arkansas State at Memphis,SPREAD,Arkansas State +9,9,,sticking with it,2,+11.5 now,,,,,,STALE NUMBER - listener gets a better line than cited,BBOC_20260903_WK1PREV,FG,20260905_ARST_MEM,HIGH,PICK,Took the look-ahead line last week at +9,,,PENDING
W01-084,BBOC,2026-09-03,Colin Wilson,2026-09-04,Miami at Stanford,SPREAD,Miami -24.5,-24.5,,laid it at beginning of week; would still bet 24,2,,,,,,W,makes it 31 | Won by 39,BBOC_20260903_WK1PREV,FG,20260904_MIA_STAN,HIGH,PICK,Stanford injury report ugly; Cristobal focused since January,MIA 45 STAN 6,2026-09-05,NO_CLOSE_CAPTURED
